Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
1,1,Finca Resalso 2022,Wine Cellar,69,,69,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Finca Resalso 2022.jpg,,0,Region:Ribera del Duero; Grape Type:100% Tempranillo; Serving Temperature:14-16 C; Ageing Process:4 months in French Oak Barrel; Culinary Recommendations:Grilled Meats - Charcuterie - Roast Chiken - Semi Cured Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
2,1,Emilio Moro 2021,Wine Cellar,135,,135,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Emilio Moro 2021.jpg,,0,Region:Ribera del Duero; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:12 Months in French and American Oak Barrel; Culinary Recommendations:Red Meat / Game/ Hearty stews/ Mature,0,new,0,0,0,0,0,,,,,0,0,0,0,
3,1,Emilio Moro  Vendimia Seleccionada,Wine Cellar,175,,175,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Emilio Moro  Vendimia Seleccionada.jpg,,0,Region:Ribera del Duero; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:16 months in French Oak Barrel; Culinary Recommendations:Red Meat - Grilled Lamb - Ribeye Steak - Game - Duck - Roast Pok - Aged cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
4,1,Malleolus  2021,Wine Cellar,210,,210,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Malleolus  2021.jpg,,0,Region:Ribera del Duero; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:18 months in French Oak Barrels; Culinary Recommendations:Grilled Steak - Roast Beef - Aged cheeses - Hearty Casseroles - Truffle Pasta,0,new,0,0,0,0,0,,,,,0,0,0,0,
5,1,La Felisa 2021,Wine Cellar,180,,180,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/La Felisa 2021.jpg,,0,Region:Ribera del Duero; Grape Type:100% Tempranillo; Serving Temperature:15-17 C; Ageing Process:12 Months in French Oak Barrel; Culinary Recommendations:Grilled Meat - Roast Pork - Stews - Mushroom Based dishes - Charcuterie - Tapas,0,new,0,0,0,0,0,,,,,0,0,0,0,
6,1,Malleolus Valderramiro  2020,Wine Cellar,590,,590,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Malleolus Valderramiro  2020.jpg,,0,Region:Ribera del Duero; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:18 months in French Oak Barrels; Culinary Recommendations:Grilled Red Meats - Venison - Wild Boar - Duck - Beef Wellington - Truffle Pasta,0,new,0,0,0,0,0,,,,,0,0,0,0,
7,1,Malleolus Sanchomartín  2020,Wine Cellar,820,,820,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Malleolus Sanchomartín  2020.jpg,,0,Region:Ribera del Duero; Grape Type:100% Tempranillo; Serving Temperature:16-18 C; Ageing Process:18 months in French Oak Barrels; Culinary Recommendations:Premium Red Meats - Wagyu - Filet Mignon - Gourmet Pasta - Aged Cheeses,0,new,0,0,0,0,0,,,,,0,0,0,0,
8,1,Clon de La Familia 2016,Wine Cellar,1690,,1690,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/Clon de La Familia 2016.jpg,,0,Region:Ribera del Duero; Grape Type:100% Tempranillo; Serving Temperature:16-18 C ; Ageing Process:Up to 24 months in French Oak Barrels; Culinary Recommendations:High Quality Red Meat - Duck - Rich Stews - Manchego - Blue Cheese - Mushroom Based dishes,0,new,0,0,0,0,0,,,,,0,0,0,0,
9,1,El Polvorete 2022/2023,Wine Cellar,69,,69,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/El Polvorete 2022/2023.jpg,,0,Region:Bierzo; Grape Type:100% Godello; Serving Temperature:8-10 C; Ageing Process:Stainless Steel Tanks; Culinary Recommendations:Seafood - Shrimp - Oyster - Ceviche - Paella - Soft Cheeses - Sushi - Light Salads,0,new,0,0,0,0,0,,,,,0,0,0,0,
10,1,El zarzal 2021/2022,Wine Cellar,98,,98,0,,,,,,,,Emilio Moro,,,,,,,,750,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/lijpwpfm/domains/dev.desabor.pl/public_html/img/import_images/El zarzal 2021/2022.jpg,,0,Region:Bierzo; Grape Type:100% Godello; Serving Temperature:8-10 C; Ageing Process:Fermented and Aged on fine Lees in Stanless Steel Tanks; Culinary Recommendations:Seafood - Octopus - Shellfish - Pasta with white Sauce - Roasted Asparagus or Zucchini - Patatas Bravas - Fried Calamari,0,new,0,0,0,0,0,,,,,0,0,0,0,
