Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
1,1,Finca Resalso 2022,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
2,1,Emilio Moro 2021,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
3,1,Emilio Moro  Vendimia Seleccionada,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
4,1,Malleolus  2021,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
5,1,La Felisa 2021,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
6,1,Malleolus Valderramiro  2020,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
7,1,Malleolus Sanchomartín  2020,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
8,1,Clon de La Familia 2016,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
9,1,El Polvorete 2022/2023,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
10,1,El zarzal 2021/2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
11,1,La Revelia 2021,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
12,1,Artadi Viñas de Gain Blanco 2019,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
13,1,Artadi Viñas de Gain Tinto 2020/21/22,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
14,1,Artadi Poza de Ballesteros 2022,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
15,1,Artadi Valdegines 2021/2022,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
16,1,Artadi El Carretil 2022,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
17,1,Pasos de San Martín 2019,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
18,1,Santa Cruz de Artazu Tinto 2021,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
19,1,Santa Cruz de Artazu Blanco 2019,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
20,1,El Seque 2021,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
21,1,Viña el Pisón 2022 100 peñin,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
22,1,Izar Leku Sparklin 2018,Wine Cellar; Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Sparklin,,,,,,,,,,,,,,,,
23,1,Jose Pariente Verdejo 2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
24,1,Jose Pariente Sauvignon 2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
25,1,Jose Pariente Barrica 2022 (Organic),Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
26,1,Jose Pariente Apasionado 2021 (Organic),Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
27,1,Jose Pariente Finca Las Comas  2021,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
28,1,Jose Pariente Cuvee Especial 2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
29,1,Victoria Rose,Wine Cellar; Rose Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Rose,,,,,,,,,,,,,,,,
30,1,Origen Prieto Pariente 2019,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
31,1,Confines Prieto Pariente 2020,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
